video_name,knee_valgus,knee_varus,lateral_hip_shift,torso_lateral_lean,foot_stability
10,1,0,0,0,0
11,1,0,0,0,0
12,1,0,0,0,0
13,0,0,0,1,0
14,0,0,0,1,0
16,0,0,2,1,0
17,0,0,1,1,0
19,0,0,1,2,0
20,1,0,0,0,0
25,2,0,0,0,0
26,2,0,0,0,0
27,2,0,0,0,0
28,0,1,2,0,0
29,0,1,2,0,0
30,0,0,2,1,0
31,0,0,0,1,0
33,0,0,2,0,0
39,1,0,0,0,0
40,0,0,1,2,0
42,0,0,0,0,2
44,0,0,0,0,2
45,0,0,0,0,2
49,0,0,2,0,0
53,1,0,0,0,0
54,1,0,0,0,0
55,2,0,0,2,1
56,1,0,0,0,1
57,2,0,0,0,0
58,0,0,1,0,0
59,0,0,1,0,0
61,2,0,0,0,0
63,0,0,0,0,1
70,1,0,0,0,0
71,1,0,0,0,0
72,2,0,0,0,0
73,2,0,0,1,0
74,1,0,0,2,0
75,2,0,0,2,0
81,0,0,0,1,0
82,1,0,0,0,0
83,1,0,0,0,0
84,0,0,1,0,0
85,1,0,0,0,0
86,2,0,0,0,0
87,2,0,2,0,0
94,0,0,1,0,0
96,0,0,1,0,0
97,0,0,0,1,0
98,0,0,0,1,0
99,0,0,0,1,0
100,0,0,2,0,0
102,0,0,1,0,0
103,1,0,0,0,0
104,1,0,0,0,0
105,1,0,0,0,0
107,0,0,1,0,0
117,0,0,1,0,0
124,0,0,0,0,0
125,0,0,0,0,0
126,0,0,0,0,0
127,0,0,0,0,2
128,0,0,0,0,1
148,2,0,0,0,0
149,1,0,0,0,0
150,0,0,0,0,0
151,2,0,0,0,0
152,2,0,0,0,0
153,2,0,0,0,0
154,0,0,0,0,0
155,0,0,0,0,0
156,0,0,2,0,0
157,0,0,2,0,0
158,0,0,2,0,0
159,0,0,1,0,0
160,2,0,0,0,0
161,1,0,1,0,0
162,1,0,1,0,0
163,2,0,2,0,0
164,2,0,2,0,0
165,2,0,2,0,0
172,0,0,0,0,0
173,0,0,1,0,0
174,0,0,0,0,0
175,0,0,0,1,0
176,0,0,0,0,0
177,0,0,0,0,0
178,0,0,0,2,0
179,0,0,0,2,0
180,0,0,0,2,0
181,0,0,0,2,0
182,0,0,0,1,0
183,0,0,0,1,0
184,0,0,0,0,0
185,0,0,0,0,0
186,0,0,0,0,0
187,0,0,0,0,0
188,0,0,0,0,0
189,0,0,0,0,0
190,0,0,0,0,0
191,0,0,0,0,0
192,0,0,0,0,0
193,0,0,0,0,0
194,0,0,0,0,0
195,0,0,0,0,0
196,0,0,0,0,0
197,0,0,0,0,0
198,0,0,0,0,0
199,0,0,0,0,0
200,0,0,0,0,0
201,0,0,0,0,0
202,0,0,0,0,0
203,0,0,0,0,0
204,0,0,0,0,0
205,0,0,0,0,0
206,0,0,0,0,0
207,0,0,0,0,0
208,1,0,0,0,0
209,0,0,0,0,0
210,0,0,0,0,0
211,0,0,0,0,0
212,0,0,0,0,0
213,0,0,0,0,0
214,0,0,0,0,0
215,0,0,0,0,0
216,0,0,0,0,0
217,0,0,0,0,0
218,0,0,0,0,0
219,0,0,0,0,0
220,0,0,0,0,2
239,0,0,0,0,2
249,0,0,0,0,2
250,0,0,0,0,0
251,0,2,0,0,0
255,0,0,0,1,0
256,0,1,1,1,0
257,0,1,0,1,0
